pallet_id,length_cm,width_cm,height_cm,type
2337062,50.3,26,34.3,2
2337062,45.5,27.5,18,1
2337062,30.2,23.2,19.3,2
2337062,30.2,23.2,19.3,2
2337062,22.2,22,21.9,2
2337062,19.3,15,13.8,2
2337062,45.5,27.5,25,1
2337062,20.1,12.4,12.6,2
2337062,45.5,27.5,25,1
2337062,45.5,27.5,18,1
2337062,19.5,12.3,13.3,2
2337062,50,30,28,0
2337062,45.5,27.5,18,1
2337062,25,18.7,15.8,2
2337062,22.2,22,21.9,2
2337062,45.5,27.5,18,1
2337062,45.5,27.5,18,1
2337062,30.2,23.2,19.3,2
2337062,50,30,28,0
2337062,45.5,27.5,25,1
2337062,45.5,27.5,25,1
2337062,30.2,23.2,19.3,2
2337062,50,30,18,0
2337062,45.2,34.9,22.8,2
2337062,30.2,23.2,19.3,2
2337062,50,30,28,0
2337062,22.2,22,21.9,2
2337062,30.2,23.2,19.3,2
2337062,45.5,27.5,18,1
2337062,50,30,18,0
2337062,45.5,27.5,25,1
2337062,30.2,23.2,19.3,2
2337062,45.5,27.5,25,1
2337062,45.5,27.5,25,1
2337062,45.5,27.5,25,1
2337062,45.5,27.5,18,1
2337062,45.5,27.5,25,1
2337062,45.5,27.5,18,1
2337062,45.5,27.5,25,1
2337062,35.5,24.9,28.5,2
2337062,19.2,14,13,2
2337062,30.2,23.2,19.3,2
2337062,22.2,22,21.9,2
2337062,50,30,28,0
2337062,45.5,27.5,25,1
2337062,24.1,15.4,7.1,2
2337062,45.5,27.5,18,1
2337062,52.8,27.3,15.3,2
2337062,22.2,22,21.9,2
2337062,45.5,27.5,18,1
2337062,22.2,22,21.9,2
2337062,33,13.7,17.7,2
2337062,22.2,22,21.9,2
2337062,22.2,22,21.9,2
2337062,22.2,22,21.9,2
2337062,50,30,28,0
2337062,19.9,12.1,14.8,2
